【一鍵安裝所有套件】
pip install streamlit streamlit-webrtc opencv-python xlrd gymnasium stable-baselines3 plotly ollama ultralytics supervision roboflow


pip install streamlit              # Streamlit 網頁框架 (核心)
pip install numpy                  # 數值計算
pip install pandas                 # 數據處理
pip install pillow                 # 圖像處理
pip install ultralytics            # YOLOv8/v11 官方庫
pip install opencv-python          # OpenCV 圖像處理
pip install supervision            # 視覺標註工具
pip install roboflow               # Roboflow 數據集整合（可選）
pip install torch torchvision      # PyTorch 深度學習框架
pip install gymnasium              # 強化學習環境框架
pip install stable-baselines3      # PPO/DDPG 等 RL 算法庫
pip install plotly                 # 互動式圖表與動畫
pip install torch                  # PyTorch (SB3 依賴)
pip install streamlit-webrtc       # 網頁即時影像串流（若有視訊功能）
pip install xlrd                   # 讀取 Excel 檔案（.xls 格式）
pip install openpyxl               # 讀取 Excel 檔案（.xlsx 格式）
pip install matplotlib             # 基礎圖表繪製

